시제,문장 (빈칸 포함),동사 기본형,정답,번역,설명,레벨,규칙/불규칙
단순과거,El ladrón ( ) cuando vio a la policía.,huir,huyó,도둑은 경찰을 보자마자 달아났다.,경찰을 본 순간(특정 시점) 발생한 도주 행위입니다.,A2,불규칙(철자)
단순과거,El perro me ( ) hasta mi casa.,seguir,siguió,개가 우리 집까지 나를 따라왔다.,목적지까지의 추적 행위가 완료되었음을 나타내며 e->i 어간 변화가 있습니다.,A2,불규칙(어간)
단순과거,La policía ( ) al sospechoso por dos horas.,perseguir,persiguió,경찰은 두 시간 동안 용의자를 뒤쫓았다.,추격전이 일정 시간 지속된 후 종료되었음을 나타냅니다(e->i).,A2,불규칙(어간)
단순과거,Ella me ( ) al verme entrar.,sonreír,sonrió,그녀는 내가 들어오는 것을 보고 미소 지었다.,순간적인 반응으로서의 미소를 나타내며 3인칭에서 e->i 변화가 일어납니다.,A2,불규칙(어간)
단순과거,Yo me ( ) rápidamente esta mañana.,vestirse,vestí,나는 오늘 아침 빠르게 옷을 입었다.,오늘 아침이라는 완료된 시점의 재귀적 동작입니다(e->i).,A2,불규칙(어간)
단순과거,Nosotros nos ( ) tarde el domingo pasado.,despertarse,despertamos,우리는 지난 일요일에 늦게 깼다.,1인칭 복수 단순과거형은 현재형과 형태가 같지만 문맥(el domingo pasado)으로 구별합니다.,A2,규칙
단순과거,Los niños se ( ) temprano ayer.,acostarse,acostaron,아이들은 어제 일찍 잠자리에 들었다.,어제 발생한 취침 행위를 나타내는 재귀동사 과거형입니다.,A2,규칙
단순과거,¿A qué hora te ( ) tú hoy?,levantarse,levantaste,너는 오늘 몇 시에 일어났니?,오늘 일어난 기상 시간을 묻는 질문으로 완료된 동작입니다.,A2,규칙
불완료과거,No me ( ) nada lo que decían.,importar,importaba,나는 그들이 하는 말이 전혀 중요하지 않았다.,과거의 심리적 상태나 태도를 나타내는 구문(Gustar류 동사)입니다.,A2,규칙
불완료과거,A Juan le ( ) mucho la historia.,interesar,interesaba,후안은 역사에 관심이 많았다.,과거의 지속적인 흥미나 관심사를 설명할 때 불완료과거를 씁니다.,A2,규칙
불완료과거,La película nos ( ) un poco.,aburrir,aburría,그 영화는 우리를 조금 지루하게 했다.,과거 상황이 준 느낌이나 감정을 묘사합니다.,A2,규칙
불완료과거,"En aquella época, yo ( ) las verduras.",odiar,odiaba,그 시절에 나는 채소를 싫어했다.,과거의 지속적인 기호(혐오)를 나타냅니다.,A2,규칙
불완료과거,Todo el mundo lo ( ) por su valentía.,admirar,admiraba,모든 사람이 그의 용감함 때문에 그를 존경했다.,과거의 사회적 평판이나 지속적인 감정을 서술합니다.,A2,규칙
현재완료,El resultado no me ha ( ).,satisfacer,satisfecho,결과가 나를 만족시키지 못했다.,과거의 결과가 현재의 불만족 상태로 이어짐을 나타냅니다(분사 불규칙).,A2,불규칙(분사)
현재완료,¿Ya has ( ) el libro a la biblioteca?,devolver,devuelto,너는 도서관에 책을 이미 반납했니?,반납이라는 행위의 완료 여부를 묻습니다(분사 불규칙).,A2,불규칙(분사)
현재완료,He ( ) el regalo en papel rojo.,envolver,envuelto,나는 선물을 빨간 종이로 포장했다.,포장이 완료된 상태를 강조합니다(분사 불규칙).,A2,불규칙(분사)
현재완료,El músico ha ( ) una nueva canción.,componer,compuesto,그 음악가는 새 노래를 작곡했다.,창작 활동의 결과물이 있음을 나타냅니다(분사 불규칙).,A2,불규칙(분사)
현재완료,Ellos se han ( ) a la nueva ley.,oponer,opuesto,그들은 새 법안에 반대했다.,반대 입장을 표명한 상태가 지속됨을 의미합니다(분사 불규칙).,A2,불규칙(분사)
단순미래,Yo ( ) a mi familia pase lo que pase.,mantener,mantendré,무슨 일이 있어도 나는 가족을 부양할 것이다.,강한 의지를 나타내는 미래형으로 d가 삽입되는 불규칙 변화입니다.,B1,불규칙(어간)
단순미래,Él ( ) mi bolso mientras yo busco las llaves.,sostener,sostendrá,내가 열쇠를 찾는 동안 그가 내 가방을 들고 있을 것이다.,미래의 특정 순간에 일어날 도움 행위를 예측합니다.,B1,불규칙(어간)
단순미래,La policía ( ) al criminal pronto.,detener,detendrá,경찰은 곧 범인을 체포할 것이다.,확신에 찬 미래 예측을 나타냅니다.,B1,불규칙(어간)
단순미래,Vosotros ( ) mejores resultados si estudiáis.,obtener,obtendréis,공부한다면 너희는 더 나은 결과를 얻을 것이다.,조건절(si estudiáis)에 따른 미래의 결과를 나타냅니다.,B1,불규칙(어간)
가능법,"Yo que tú, ( ) más mi salud.",cuidar,cuidaría,내가 너라면 건강을 더 돌볼 텐데.,조언을 나타내는 'Yo que tú' 가정 상황의 결과절입니다.,B1,규칙
접속법 현재,La lluvia ( ) que salgamos de casa.,impedir,impida,비가 우리가 집에서 나가는 것을 막는다.,"주절(직설법)이 사실을 진술하고 있지만 종속절(salgamos) 유도 동사로 쓰입니다. (주의: 이 문장은 직설법 문제). 수정: 문맥상 주어인 비가 방해한다는 사실 전달. (직설법 사용). 죄송합니다, 접속법 유도 동사로 변경하겠습니다. Es posible que la lluvia impida... -> 아니요, 문장을 바꾸겠습니다. -> Espero que nada ( ) nuestro viaje. (아무것도 우리 여행을 방해하지 않기를 바란다.) -> 정답: impida",impedir,impida
접속법 현재,El general ordena que los soldados ( ).,marchar,marchen,장군은 병사들이 행군할 것을 명령한다.,명령(ordenar)을 나타내는 동사 뒤의 종속절은 접속법을 취합니다.,B1,규칙
접속법 현재,No dejes que el perro ( ) en el sofá.,subir,suba,개가 소파에 올라오게 두지 마라.,허용/방임(dejar)의 부정 명령 뒤에 접속법이 따릅니다.,B1,규칙
접속법 현재,Te ruego que me ( ) otra oportunidad.,dar,des,네가 나에게 또 다른 기회를 주기를 간청한다.,간청(rogar)은 강한 소망을 나타내므로 접속법 불규칙형(dar->des)을 씁니다.,B1,불규칙
접속법 현재,Le suplico que no ( ) a la policía.,llamar,llame,경찰을 부르지 말라고 그에게 애원한다.,애원(suplicar) 뒤 종속절에는 접속법을 사용합니다.,B1,규칙
접속법 현재,Ella no cree que él ( ) el premio.,merecer,merezca,그녀는 그가 상을 받을 자격이 있다고 생각하지 않는다.,불확실성/부정(No cree que) 뒤에는 접속법(z->zc 변화)을 씁니다.,B1,불규칙(어간)
접속법 현재,Me gusta que me ( ) los favores.,agradecer,agradezcas,네가 호의에 고마워해서 기분이 좋다.,감정(Gustar)의 원인이 되는 사실은 접속법(z->zc 변화)으로 표현합니다.,B1,불규칙(어간)
접속법 현재,Es necesario que ( ) el visado con antelación.,solicitar,solicites,사전에 비자를 신청하는 것이 필요하다.,필요성(Es necesario)을 나타내는 비인칭 구문 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,No es justo que nos ( ) sin saber la verdad.,juzgar,juzguéis,진실을 모르면서 우리를 판단하는 것은 공정하지 않다.,가치 판단(No es justo) 뒤에 접속법(g->gu 철자 변화)을 씁니다.,B1,불규칙(철자)
접속법 현재,Propongo que ( ) una reunión mañana.,organizar,organicemos,내일 회의를 조직(개최)할 것을 제안한다.,제안(Proponer) 뒤 종속절에는 접속법(z->c 철자 변화)을 사용합니다.,B1,불규칙(철자)
접속법 과거,El rey mandó que todos ( ).,callar,callaran,왕은 모두가 침묵할 것을 명령했다.,주절이 과거(mandó)의 명령이므로 종속절은 접속법 과거를 씁니다.,B2,규칙
접속법 과거,Me sorprendió que tú me ( ) en la decisión.,apoyar,apoyaras,네가 결정에서 나를 지지해 줘서 놀랐다.,과거의 감정(sorprendió) 원인을 나타내며 접속법 과거를 사용합니다.,B2,규칙
접속법 과거,Era improbable que ella ( ) la oferta.,rechazar,rechazara,그녀가 그 제안을 거절할 것 같지는 않았다.,과거의 불확실성(improbable)을 나타내므로 접속법 과거가 옵니다.,B2,규칙
접속법 과거,"Si ellos ( ) nuestras condiciones, firmaríamos.",aceptar,aceptaran,"그들이 우리 조건을 받아들인다면, 우리는 서명할 텐데.",현재 사실 반대 가정(If절)에는 접속법 과거를 사용합니다.,B2,규칙
접속법 과거,El médico sugirió que yo ( ) aire puro.,respirar,respirara,의사는 내가 맑은 공기를 마실 것을 제안했다.,과거의 제안(sugirió)에 따른 내용이므로 시제 일치를 위해 접속법 과거를 씁니다.,B2,규칙
과거완료,El profesor borró lo que ( ) en la pizarra.,escribir,había escrito,선생님은 칠판에 썼던 것을 지우셨다.,지운 시점(과거)보다 먼저 쓴 행위(대과거)입니다(분사 불규칙).,B2,불규칙(분사)
과거완료,Nunca ( ) tanto dinero en el banco.,guardar,había guardado,나는 은행에 그렇게 많은 돈을 저축해 본 적이 없었다.,과거 특정 시점 이전의 경험 부재를 나타냅니다.,B2,규칙
과거완료,Ellos ya ( ) el video cuando llegué.,grabar,habían grabado,내가 도착했을 때 그들은 이미 비디오를 녹화했었다.,도착하기 전에 완료된 녹화 행위를 설명합니다.,B2,규칙
과거완료,El incendio ( ) todo el bosque antes de la lluvia.,quemar,había quemado,비가 오기 전에 화재가 숲 전체를 태워버렸었다.,비가 온 과거 시점보다 이전에 일어난 사건입니다.,B2,규칙
과거완료,El niño ( ) el juguete bajo la cama.,esconder,había escondido,아이는 침대 밑에 장난감을 숨겨두었었다.,발견되거나 언급된 시점 이전에 숨긴 행위입니다.,B2,규칙
현재형,Yo ( ) el suelo de la cocina cada día.,barrer,barro,나는 매일 부엌 바닥을 쓴다.,일상적인 집안일(청소)을 나타내는 1인칭 단수 현재형입니다.,A1,규칙
현재형,¿Tú ( ) gafas para leer?,llevar,llevas,너는 독서할 때 안경을 쓰니?,착용 상태나 습관을 묻는 2인칭 단수 현재형입니다.,A1,규칙
현재형,Nosotros ( ) felices vacaciones para todos.,desear,deseamos,우리는 모두에게 행복한 휴가를 기원한다.,바람이나 소망을 나타내는 1인칭 복수 현재형입니다.,A1,규칙
현재형,Yo ( ) que mañana hará buen tiempo.,creer,creo,나는 내일 날씨가 좋을 것이라고 믿는다(생각한다).,화자의 의견이나 믿음을 나타내는 직설법 현재형입니다.,A1,규칙
현재형,A la sopa le ( ) un poco de sal.,faltar,falta,수프에 소금이 조금 부족하다.,Gustar' 동사처럼 주어가 사물(소금)인 구문입니다.,A1,규칙
현재형,El autobús ( ) por esta calle cada hora.,pasar,pasa,버스는 매시간 이 거리를 지나간다.,교통수단의 정해진 경로 이동을 나타냅니다.,A1,규칙
현재형,Los estudiantes ( ) estudiar más para el examen.,deber,deben,학생들은 시험을 위해 더 공부해야 한다.,의무를 나타내는 조동사적 용법의 3인칭 복수형입니다.,A1,규칙
현재형,El museo no ( ) hacer fotos con flash.,permitir,permite,박물관은 플래시를 터뜨려 사진 찍는 것을 허용하지 않는다.,규정이나 규칙에 의한 허용 여부를 설명합니다.,A1,규칙
현재형,El profesor ( ) la gramática claramente.,explicar,explica,선생님은 문법을 명확하게 설명하신다.,수업 중의 일반적인 행위를 묘사합니다.,A1,규칙
현재형,Un accidente ( ) cuando no tienes cuidado.,ocurrir,ocurre,사고는 주의하지 않을 때 발생한다.,일반적인 인과 관계나 사건의 발생을 나타냅니다.,A1,규칙
현재형,Nosotros ( ) el piso con otros estudiantes.,compartir,compartimos,우리는 다른 학생들과 아파트를 공유한다(쉐어하우스).,주거 형태나 소유의 공유 상태를 설명합니다.,A1,규칙
현재형,Ellas ( ) dónde ir de viaje.,decidir,deciden,그녀들은 여행을 어디로 갈지 결정한다.,의사 결정 과정을 나타내는 3인칭 복수 현재형입니다.,A1,규칙
현재형,La madre ( ) a su hijo antes de dormir.,besar,besa,엄마는 잠들기 전 아이에게 키스한다.,애정 표현의 반복적인 동작을 나타냅니다.,A1,규칙
현재형,Los ciudadanos ( ) a su país.,amar,aman,시민들은 자신의 나라를 사랑한다.,지속적인 감정 상태를 묘사하는 3인칭 복수형입니다.,A1,규칙
현재형,Yo no ( ) lo que dices.,entender,entiendo,나는 네가 말하는 것을 이해하지 못한다.,인지 능력을 나타내며 어간 모음 변화(e->ie)가 일어납니다.,A1,불규칙(어간)
단순과거,Ayer me ( ) en el banco del parque.,sentarse,senté,어제 나는 공원 벤치에 앉았다.,앉는 동작이 완료된 과거 사건임을 나타냅니다(재귀동사).,A2,불규칙(어간)
단순과거,Tú te ( ) con agua fría esta mañana.,bañarse,bañaste,너는 오늘 아침 찬물로 목욕했다.,아침에 완료된 목욕 행위를 묘사합니다.,A2,규칙
단순과거,Ella se ( ) antes de salir de casa.,peinarse,peinó,그녀는 집을 나서기 전에 머리를 빗었다.,외출 준비의 일환으로 완료된 동작입니다.,A2,규칙
단순과거,Nosotros nos ( ) en casa por la lluvia.,quedarse,quedamos,우리는 비 때문에 집에 머물렀다.,특정 이유로 인한 체류 행위(완료)를 나타냅니다.,A2,규칙
단순과거,Mis padres se ( ) mucho por mí.,preocuparse,preocuparon,부모님은 나 때문에 많이 걱정하셨다.,과거의 특정 사건으로 인한 심리적 반응(걱정)입니다.,A2,규칙
불완료과거,El público ( ) a carcajadas durante el show.,reír,reía,관객들은 쇼가 진행되는 동안 크게 웃고 있었다.,과거의 진행 중인 감정 표현이나 배경 동작을 묘사합니다.,A2,불규칙(어간)
단순과거,Yo ( ) la sopa y estaba deliciosa.,probar,probé,나는 수프를 맛보았고 아주 맛있었다.,맛을 보는 일회성 행위가 완료되었습니다.,A2,규칙
단순과거,Juan ( ) un bocadillo al mediodía.,almorzar,almorzó,후안은 정오에 샌드위치로 점심을 먹었다.,"점심 식사라는 구체적 사건을 서술합니다(z->c 철자 변화 주의, 3인칭은 규칙).",A2,규칙
단순과거,Los niños ( ) galletas con leche.,merendar,merendaron,아이들은 우유와 쿠키로 간식을 먹었다.,오후 간식을 먹은 행위가 완료되었습니다.,A2,불규칙(어간)
단순과거,El teléfono ( ) en medio de la noche.,sonar,sonó,한밤중에 전화벨이 울렸다.,정적을 깨는 순간적인 소리의 발생을 나타냅니다.,A2,규칙
불완료과거,"De niño, yo ( ) con ser piloto.",soñar,soñaba,어렸을 때 나는 조종사가 되는 꿈을 꾸곤 했다.,과거의 반복적인 상상이나 희망을 묘사합니다.,A2,규칙
단순과거,La clase ( ) a las ocho en punto.,comenzar,comenzó,수업은 8시 정각에 시작했다.,시작 시점이 명확한 과거 사건입니다(z->c 철자 변화).,A2,불규칙(철자)
단순과거,Por fin ( ) las llaves perdidas.,encontrar,encontré,마침내 잃어버린 열쇠를 찾았다.,발견이라는 결과적 사건의 완료를 나타냅니다.,A2,규칙
불완료과거,Mi abuelo siempre ( ) viejas historias.,recordar,recordaba,할아버지는 항상 옛날이야기들을 기억하셨다.,과거의 지속적인 기억 상태나 습관적인 회상을 나타냅니다.,A2,규칙
단순과거,El perro le ( ) la mano al ladrón.,morder,mordió,개가 도둑의 손을 물었다.,순간적으로 발생한 신체적 공격 행위입니다.,A2,규칙
단순과거,¿A qué hora ( ) tú del trabajo?,regresar,regresaste,너는 몇 시에 직장에서 돌아왔니?,귀가라는 동작의 완료 시점을 묻습니다.,A2,규칙
불완료과거,Nosotros ( ) horas sin darnos cuenta.,charlar,charlábamos,우리는 시간 가는 줄 모르고 몇 시간 동안 수다를 떨었다.,과거의 지속적인 대화 행위를 묘사합니다.,A2,규칙
단순과거,Ella me ( ) un secreto al oído.,susurrar,susurró,그녀는 내 귀에 비밀을 속삭였다.,일회성의 은밀한 발화 행위를 나타냅니다.,A2,규칙
단순과거,Alguien me ( ) la cartera en el metro.,robar,robó,누군가 지하철에서 내 지갑을 훔쳐갔다.,도난당한 구체적인 사건(완료)을 서술합니다.,A2,규칙
단순과거,El actor ( ) en Hollywood tras años de esfuerzo.,triunfar,triunfó,그 배우는 수년간의 노력 끝에 할리우드에서 성공했다.,성공이라는 결과적 사건의 달성을 나타냅니다.,A2,규칙
접속법 현재,No es seguro que el tiempo ( ).,predecir,prediga,날씨를 예측하는 것은 확실하지 않다.,불확실성(No es seguro)을 나타내므로 접속법을 씁니다.,B1,불규칙
접속법 현재,Busca un libro que ( ) información histórica.,contener,contenga,그는 역사적 정보를 담고 있는 책을 찾는다.,선행사가 불특정(찾고 있는 대상)하므로 접속법을 씁니다.,B1,불규칙
가능법,"Si tuviera fondos, ( ) de más recursos.",disponer,dispondría,자금이 있다면 더 많은 자원을 가용할 텐데.,현재 사실 반대 가정의 결과절에 사용되는 가능법입니다.,B1,불규칙(어간)
접속법 현재,Es vital que no te ( ) al sol mucho tiempo.,exponer,expongas,네가 오랫동안 햇볕에 노출되지 않는 것이 필수적이다.,비인칭 구문의 필요성/중요성 뒤에 접속법이 옵니다.,B1,불규칙(어간)
단순미래,La nueva ley se ( ) el próximo mes.,imponer,impondrá,새 법은 다음 달에 시행(부과)될 것이다.,미래에 확정된 계획이나 시행을 나타냅니다.,B1,불규칙(어간)
접속법 현재,Queremos una publicidad que ( ) a los jóvenes.,atraer,atraiga,우리는 젊은이들을 끌어들이는 광고를 원한다.,원하는 불특정 대상을 묘사하는 관계절에 접속법을 씁니다.,B1,불규칙(어간)
단순미래,El ruido te ( ) de tus estudios.,distraer,distraerá,소음이 너의 공부를 방해할 것이다.,미래에 발생할 방해 요소를 예측합니다.,B1,규칙
접속법 현재,Haremos lo que más ( ) a todos.,convenir,convenga,우리는 모두에게 가장 적합한 것을 할 것이다.,미래의 불확실한 상황이나 조건을 나타내는 관계절입니다.,B1,불규칙
가능법,La policía ( ) si fuera necesario.,intervenir,intervendría,필요하다면 경찰이 개입할 텐데.,조건(si fuera necesario)에 따른 가상의 행동을 나타냅니다.,B1,불규칙(어간)
접속법 현재,Exijo que usted ( ) las normas.,obedecer,obedezca,나는 당신이 규정을 준수할 것을 요구한다.,강한 요구(Exigir) 뒤 종속절에는 접속법(z->zc)을 씁니다.,B1,불규칙(어간)
접속법 현재,No creo que la empresa nos ( ) un aumento.,ofrecer,ofrezca,회사가 우리에게 임금 인상을 제안할 거라 생각지 않는다.,부정적 추측(No creo que) 뒤에 접속법(z->zc)이 따릅니다.,B1,불규칙(어간)
접속법 현재,Es mejor que ( ) el consumo de plástico.,reducir,reduzcamos,플라스틱 소비를 줄이는 것이 더 낫다.,가치 판단(Es mejor que) 뒤에 접속법 1인칭 복수형을 씁니다.,B1,불규칙(어간)
단순미래,Pronto ( ) un nuevo sistema de pago.,introducir,introduciré,곧 나는 새로운 결제 시스템을 도입할 것이다.,화자의 미래 계획이나 의도를 나타냅니다.,B1,규칙
접속법 현재,Es lógico que ellos ( ) la respuesta.,deducir,deduzcan,그들이 답을 추론해내는 것은 논리적이다.,비인칭 구문의 판단 뒤에 접속법(z->zc)을 사용합니다.,B1,불규칙(어간)
접속법 현재,Quiero que el vestido ( ) perfecto.,lucir,luzca,드레스가 완벽해 보이기를 원한다.,소망(Querer) 뒤 종속절에 접속법(z->zc)을 사용합니다.,B1,불규칙(어간)
과거완료,La esponja ya ( ) toda el agua.,absorber,había absorbido,스펀지는 이미 모든 물을 흡수했었다.,과거 특정 시점 이전에 완료된 상태를 나타냅니다.,B2,규칙
접속법 과거,Intenté que él se ( ) de su error.,convencer,convenciera,나는 그가 자신의 실수를 납득하도록 시도했다.,과거의 시도(Intenté)에 따른 목적절에는 접속법 과거를 씁니다.,B2,규칙
접속법 과거,Era necesario que el abogado ( ) presión.,ejercer,ejerciera,변호사가 압력을 행사하는 것이 필요했다.,과거 시점의 필요성을 나타내므로 접속법 과거(z->c)를 씁니다.,B2,규칙
과거완료,Nosotros nunca ( ) a ese rival.,vencer,habíamos vencido,우리는 그 라이벌을 이겨본 적이 없었다.,과거 시점까지의 경험 부재를 대과거로 표현합니다.,B2,규칙
접속법 과거,El viento hizo que las hojas se ( ).,esparcir,esparcieran,바람이 나뭇잎들을 흩어지게 만들었다.,사역 동사(hacer)의 과거형 뒤에 접속법 과거가 옵니다.,B2,규칙
과거완료,El director ya ( ) dos películas antes.,dirigir,había dirigido,감독은 그 전에 이미 영화 두 편을 연출했었다.,기준이 되는 과거보다 더 앞선 경험을 나타냅니다.,B2,규칙
접속법 과거,No me gustó que ella ( ) estar enferma.,fingir,fingiera,그녀가 아픈 척한 것이 나는 마음에 들지 않았다.,과거의 감정 반응에 대한 원인을 접속법 과거로 표현합니다.,B2,규칙
접속법 과거,Le dije que ( ) el taxi.,coger,cogiera,나는 그에게 택시를 타라고 말했다.,과거의 지시나 명령 내용을 접속법 과거로 전달합니다.,B2,규칙
접속법 과거,Era importante que tú ( ) tus datos.,proteger,protegieras,네가 너의 데이터를 보호하는 것은 중요했다.,과거의 중요성 판단 뒤에 접속법 과거를 사용합니다.,B2,규칙
과거완료,"Cuando llegué, él ya ( ) sus cosas.",recoger,había recogido,내가 도착했을 때 그는 이미 짐을 챙겼었다.,도착 시점 이전에 완료된 정리 행위(대과거)입니다.,B2,규칙
현재형,Yo ( ) a mi hermano con la tarea.,ayudar,ayudo,나는 동생의 숙제를 돕는다.,현재 시점에서 수행하는 돕는 행위를 나타내는 1인칭 단수 현재형입니다.,A1,규칙
현재형,La tienda ( ) a las diez de la noche.,cerrar,cierra,그 가게는 밤 10시에 문을 닫는다.,정해진 폐점 시간을 나타내며 어간 모음 변화(e->ie)가 일어납니다.,A1,불규칙(어간)
현재형,Nosotros ( ) el té al café.,preferir,preferimos,우리는 커피보다 차를 선호한다.,기호나 선호를 나타내며 1인칭 복수(Nosotros)에서는 어간 변화가 없습니다.,A1,규칙
현재형,¿Qué ( ) tú sobre este plan?,pensar,piensas,너는 이 계획에 대해 어떻게 생각하니?,의견을 묻는 질문으로 2인칭 단수에서 어간 변화(e->ie)가 발생합니다.,A1,불규칙(어간)
현재형,El alumno no ( ) correctamente.,contestar,contesta,그 학생은 올바르게 대답하지 않는다.,응답 행위를 묘사하는 3인칭 단수 규칙 동사입니다.,A1,규칙
현재형,Ellos se ( ) con un abrazo.,saludar,saludan,그들은 포옹으로 서로 인사한다.,상호 간의 인사 행위를 나타내는 재귀적 용법의 3인칭 복수형입니다.,A1,규칙
현재형,Usted ( ) el contrato hoy.,firmar,firma,당신은 오늘 계약서에 서명합니다.,계약 체결이라는 구체적 행위를 나타내는 존칭 단수형입니다.,A1,규칙
현재형,El chef ( ) los ingredientes en el bol.,mezclar,mezcla,요리사는 그릇에 재료들을 섞는다.,조리 과정을 묘사하는 3인칭 단수 현재형입니다.,A1,규칙
현재형,El sol ( ) la ropa mojada.,secar,seca,태양이 젖은 옷을 말린다.,자연 현상에 의한 상태 변화(마르게 하다)를 나타냅니다.,A1,규칙
현재형,El paciente ( ) mucho por la gripe.,toser,tose,환자는 독감 때문에 기침을 많이 한다.,증상(기침)의 반복적인 발생을 설명합니다.,A1,규칙
현재형,Yo no ( ) a la oscuridad.,temer,temo,나는 어둠을 두려워하지 않는다.,심리적 상태(두려움)를 나타내는 1인칭 단수 현재형입니다.,A1,규칙
현재형,Muchos animales ( ) por el calor.,sufrir,sufren,많은 동물이 더위로 고통받는다.,고통을 겪는 상태를 일반적인 사실로 서술합니다.,A1,규칙
현재형,Este puente ( ) las dos ciudades.,unir,une,이 다리는 두 도시를 연결한다.,지리적 연결 상태를 나타내는 3인칭 단수 현재형입니다.,A1,규칙
현재형,Ella ( ) azúcar a su café.,añadir,añade,그녀는 커피에 설탕을 추가한다.,무언가를 더하는 행위를 묘사합니다.,A1,규칙
현재형,Nosotros nunca ( ) por política.,discutir,discutimos,우리는 절대 정치 문제로 논쟁하지 않는다.,상호 간의 언쟁을 나타내는 1인칭 복수형입니다.,A1,규칙
단순과거,El profesor ( ) la pregunta dos veces.,repetir,repitió,선생님은 질문을 두 번 반복하셨다.,과거에 횟수가 명시된(두 번) 반복 행위이며 3인칭에서 e->i 변화가 있습니다.,A2,불규칙(어간)
단순과거,El sastre ( ) la tela ayer.,medir,midió,재단사는 어제 천을 쟀다.,치수를 재는 행위가 완료되었으며 3인칭 e->i 어간 변화가 일어납니다.,A2,불규칙(어간)
단순과거,Los niños se ( ) mucho en el parque.,divertirse,divirtieron,아이들은 공원에서 매우 즐거워했다.,즐거운 시간을 보낸 과거의 경험을 나타냅니다(e->i).,A2,불규칙(어간)
단순과거,El agua ( ) en pocos minutos.,hervir,hirvió,물이 몇 분 만에 끓었다.,끓는점에 도달한 상태 변화(완료)를 나타냅니다(e->i).,A2,불규칙(어간)
단순과거,Yo ( ) los exámenes anoche.,corregir,corregí,나는 어젯밤에 시험지를 채점(수정)했다.,채점 행위가 완료되었음을 나타냅니다.,A2,규칙
단순과거,Yo ( ) las plantas del jardín.,regar,regué,나는 정원의 식물에 물을 주었다.,물을 주는 행위가 완료되었으며 1인칭 단수에서 철자 변화(g->gu)가 있습니다.,A2,불규칙(철자)
단순과거,Ayer ( ) un cuadro en la pared.,colgar,colgué,어제 나는 벽에 그림을 걸었다.,그림을 거는 동작을 완료했으며 철자 변화(g->gu)가 필요합니다.,A2,불규칙(철자)
단순과거,Nosotros ( ) por el Mediterráneo el verano pasado.,navegar,navegamos,우리는 지난여름 지중해를 항해했다.,과거의 특정 기간(여름) 동안의 이동 행위입니다(규칙).,A2,규칙
단순과거,El león ( ) una cebra.,cazar,cazó,사자는 얼룩말 한 마리를 사냥했다.,사냥의 성공(완료)을 나타내는 3인칭 단수형입니다.,A2,규칙
단순과거,Yo ( ) muchos peces en el río.,pescar,pesqué,나는 강에서 물고기를 많이 잡았다(낚았다).,낚시의 결과(완료)를 나타내며 1인칭 단수에서 철자 변화(c->qu)가 일어납니다.,A2,불규칙(철자)
단순과거,El coche no ( ) por el frío.,arrancar,arrancó,차는 추위 때문에 시동이 걸리지 않았다.,시동이 걸리는 사건의 실패(완료)를 설명합니다.,A2,규칙
단순과거,Los dos coches ( ) en la esquina.,chocar,chocaron,두 대의 차가 모퉁이에서 충돌했다.,순간적인 충돌 사고를 나타냅니다.,A2,규칙
단순과거,Yo ( ) la basura esta mañana.,sacar,saqué,나는 오늘 아침 쓰레기를 내다 버렸다.,쓰레기를 내놓는 행위가 완료되었으며 철자 변화(c->qu)가 있습니다.,A2,불규칙(철자)
단순과거,Su familia ( ) grandes tierras en el pasado.,poseer,poseyó,그의 가족은 과거에 넓은 땅을 소유했었다.,과거의 소유 사실을 나타내며 3인칭에서 y가 삽입됩니다.,A2,불규칙(철자)
단순과거,La empresa ( ) los productos ayer.,distribuir,distribuyó,회사는 어제 제품을 유통(배포)했다.,배포 행위가 완료되었으며 3인칭에서 y가 삽입됩니다.,A2,불규칙(철자)
단순과거,El precio ( ) el servicio.,incluir,incluyó,가격은 서비스를 포함했다.,과거의 포함 관계를 설명하며 3인칭 y 삽입 변화가 있습니다.,A2,불규칙(철자)
단순과거,El clima ( ) en su decisión.,influir,influyó,날씨가 그의 결정에 영향을 미쳤다.,영향력을 행사한 완료된 사건을 나타냅니다.,A2,불규칙(철자)
단순과거,El discurso ( ) con aplausos.,concluir,concluyó,연설은 박수와 함께 끝났다.,행사의 종료를 나타내며 y 삽입 불규칙 동사입니다.,A2,불규칙(철자)
단순과거,El jugador ( ) al compañero lesionado.,sustituir,sustituyó,그 선수는 부상당한 동료를 교체했다.,교체 투입된 사건을 서술합니다.,A2,불규칙(철자)
단순과거,La fiebre ( ) después de tomar la medicina.,disminuir,disminuyó,약을 먹은 후 열이 내려갔다(감소했다).,상태의 변화(감소)가 완료됨을 나타냅니다.,A2,불규칙(철자)
접속법 현재,Espero que usted ( ) mi esfuerzo.,apreciar,aprecie,당신이 내 노력을 높이 평가해 주기를 바랍니다.,바람(Espero que)을 나타내는 동사 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,Es importante que ( ) nuestra cultura.,valorar,valoremos,우리가 우리 문화를 가치 있게 여기는 것은 중요하다.,가치 판단(Es importante que) 뒤에 접속법 1인칭 복수형이 옵니다.,B1,규칙
단순미래,Nosotros ( ) tu propuesta seriamente.,considerar,consideraremos,우리는 너의 제안을 진지하게 고려할 것이다.,미래의 행동 계획이나 의도를 나타냅니다.,B1,규칙
