문장,뜻,정답,오답,유형,해설
Cuento ( ) tu ayuda.,나는 네 도움*을* 믿는다.,con,"a,de,por,en",topic,"'Contar con'은 '~을 믿다, 기대하다, 가지고 있다'는 뜻입니다."
Me preocupo ( ) ti.,나는 너*를* 걱정한다.,por,"a,de,en,con",cause,'Preocuparse por'는 '~에 대해 걱정하다'는 뜻입니다.
Se dedica ( ) la música.,그는 음악*에* 종사한다.,a,"de,en,por,con",method,"'Dedicarse a'는 '~에 종사하다, 헌신하다'는 뜻입니다."
Me niego ( ) ir.,나는 가는 것을 *거부한다*.,a,"de,en,por,con",manner,'Negarse a'는 '~하는 것을 거절하다'는 뜻입니다.
Insistió ( ) pagar.,그는 계산하겠다*고* 고집했다.,en,"a,de,por,con",manner,"'Insistir en'은 '~을 고집하다, 주장하다'는 뜻입니다."
Tardó una hora ( ) llegar.,그는 도착하는 *데* 한 시간이 걸렸다.,en,"a,de,por,con",time_duration,'Tardar en'은 '~하는 데 시간이 걸리다'는 뜻입니다.
Me fijé ( ) ese detalle.,나는 그 세부사항*에* 주목했다.,en,"a,de,por,con",topic,"'Fijarse en'은 '~에 주목하다, 주의를 기울이다'는 뜻입니다."
La botella está llena ( ) agua.,병은 물*로* 가득 차 있다.,de,"a,en,por,con",material,'Lleno de'는 '~로 가득 찬'이라는 뜻입니다.
Es difícil ( ) entender.,그것은 이해하기*에* 어렵다.,de,"a,en,por,con",manner,'Difícil de' + 동사원형은 '~하기 어려운'이라는 뜻입니다.
Es fácil ( ) hacer.,그것은 하기*에* 쉽다.,de,"a,en,por,con",manner,'Fácil de' + 동사원형은 '~하기 쉬운'이라는 뜻입니다.
Está dispuesto ( ) ayudar.,그는 도울 *준비가* 되어 있다.,a,"de,en,por,con",manner,'Estar dispuesto a'는 '~할 용의가 있다'는 뜻입니다.
Me encargo ( ) la limpieza.,나는 청소*를* 담당한다.,de,"a,en,por,con",method,"'Encargarse de'는 '~을 담당하다, 맡다'는 뜻입니다."
Se despidió ( ) nosotros.,그는 우리*와* 작별 인사를 했다.,de,"a,en,por,con",company,'Despedirse de'는 '~와 작별하다'는 뜻입니다.
Disfruta ( ) la vida.,인생*을* 즐겨라.,de,"a,en,por,con",topic,'Disfrutar de'는 '~을 즐기다'는 뜻입니다.
Me acuerdo ( ) ti.,나는 너*를* 기억한다.,de,"a,en,por,con",topic,'Acordarse de'는 '~을 기억하다'는 뜻입니다.
Duda ( ) todo.,그는 모든 것*을* 의심한다.,de,"a,en,por,con",topic,'Dudar de'는 '~을 의심하다'는 뜻입니다.
Se trata ( ) un error.,그것은 실수*에 관한* 것이다.,de,"a,en,por,con",topic,"'Tratarse de'는 '~에 관한 것이다, ~이다'라는 뜻입니다."
Me fié ( ) él.,나는 그*를* 신뢰했다.,de,"a,en,por,con",topic,"'Fiarse de'는 '~를 믿다, 신뢰하다'는 뜻입니다."
Se burlaron ( ) su ropa.,그들은 그의 옷*을* 놀렸다.,de,"a,en,por,con",cause,"'Burlarse de'는 '~을 조롱하다, 놀리다'는 뜻입니다."
Me cansé ( ) esperar.,나는 기다리는 것*에* 지쳤다.,de,"a,en,por,con",cause,"'Cansarse de'는 '~에 지치다, 싫증나다'는 뜻입니다."
Se alejó ( ) la ciudad.,그는 도시*에서* 멀어졌다.,de,"a,en,por,con",loc_origin,'Alejarse de'는 '~에서 멀어지다'는 뜻입니다.
Me acerqué ( ) la ventana.,나는 창문*에* 다가갔다.,a,"de,en,por,con",loc_direction,"'Acercarse a'는 '~에 다가가다, 접근하다'는 뜻입니다."
Se enfrentó ( ) los problemas.,그는 문제*에* 맞섰다.,a,"de,en,por,con",topic,"'Enfrentarse a'는 '~에 맞서다, 직면하다'는 뜻입니다."
Se acostumbró ( ) la comida picante.,그는 매운 음식*에* 익숙해졌다.,a,"de,en,por,con",manner,'Acostumbrarse a'는 '~에 익숙해지다'는 뜻입니다.
Renunció ( ) su trabajo.,그는 직장*을* 그만두었다.,a,"de,en,por,con",topic,"'Renunciar a'는 '~을 포기하다, 그만두다'는 뜻입니다."
Me obligaron ( ) hacerlo.,그들은 내가 그것을 하도*록* 강요했다.,a,"de,en,por,con",cause,'Obligar a'는 '~하도록 강요하다'는 뜻입니다.
Ayudé ( ) mi hermano.,나는 내 동생*을* 도왔다.,a,"de,en,por,con",company,'Ayudar a' + 사람/동사원형은 '~를 돕다'는 뜻입니다.
Comenzó ( ) gritar.,그는 소리 지르기 *시작했다*.,a,"de,en,por,con",time_point,'Comenzar a'는 '~하기 시작하다'는 뜻입니다.
Me enseñó ( ) nadar.,그는 나에게 수영하는 법*을* 가르쳤다.,a,"de,en,por,con",purpose,'Enseñar a'는 '~하는 법을 가르치다'는 뜻입니다.
Aprendí ( ) conducir.,나는 운전하는 법*을* 배웠다.,a,"de,en,por,con",purpose,'Aprender a'는 '~하는 법을 배우다'는 뜻입니다.
Me invitaron ( ) cenar.,그들은 나를 저녁 식사*에* 초대했다.,a,"de,en,por,con",purpose,'Invitar a'는 '~에 초대하다'는 뜻입니다.
Se atrevió ( ) saltar.,그는 감히 뛰어내*렸다*.,a,"de,en,por,con",manner,"'Atreverse a'는 '감히 ~하다, 용기 내어 ~하다'는 뜻입니다."
Me decidí ( ) comprarlo.,나는 그것을 사기*로* 결심했다.,a,"de,en,por,con",manner,'Decidirse a'는 '~하기로 결심하다'는 뜻입니다.
Se puso ( ) llorar.,그는 울기 *시작했다*.,a,"de,en,por,con",time_point,'Ponerse a'는 '~하기 시작하다'는 뜻입니다.
Huele ( ) café.,커피 *향이* 난다.,a,"de,en,por,con",manner,'Oler a'는 '~냄새가 나다'는 뜻입니다.
Sabe ( ) chocolate.,초콜릿 *맛이* 난다.,a,"de,en,por,con",manner,'Saber a'는 '~맛이 나다'는 뜻입니다.
Suena ( ) música clásica.,클래식 음악*처럼* 들린다.,a,"de,en,por,con",manner,"'Sonar a'는 '~처럼 들리다, ~소리가 나다'는 뜻입니다."
Juegan ( ) las cartas.,그들은 카드 놀이*를* 한다.,a,"de,en,por,con",method,'Jugar a' + 게임/스포츠는 '~을 하다'는 뜻입니다.
Llamé ( ) la puerta.,나는 문*을* 두드렸다.,a,"de,en,por,con",method,"'Llamar a la puerta'는 '문을 두드리다, 노크하다'는 뜻입니다."
Voy ( ) caballo.,나는 말*을 타고* 간다.,a,"en,de,por,con",method,말을 타다는 예외적으로 'a caballo'를 씁니다. (en caballo 아님)
Estoy ( ) tu lado.,나는 네 *편*이다.,a,"en,de,por,con",loc_position,"'Estar a tu lado'는 '네 곁에 있다, 네 편이다'는 뜻입니다."
Estudio ( ) aprender.,나는 배우기 *위해* 공부한다.,para,"por,de,a,en",purpose,목적은 'para'입니다.
Lo hice ( ) ti.,나는 너 *때문에* 했다.,por,"para,de,a,en",cause,이유나 대리는 'por'입니다.
El regalo es ( ) ti.,선물은 너*를 위한* 것이다.,para,"por,de,a,en",company,수혜자는 'para'입니다.
Viajamos ( ) tren.,우리는 기차*로* 여행한다.,en,"por,a,de,con",method,"교통수단은 'en'이지만, 통신 수단이나 경로는 'por'를 쓸 수 있어 헷갈리기 쉽습니다. 여기선 '타고 간다'는 의미이므로 'en'이 가장 적절합니다."
Hablamos ( ) teléfono.,우리는 전화*로* 이야기한다.,por,"en,a,de,con",method,통신 수단은 'por'입니다.
Pagué 20 euros ( ) la camisa.,나는 셔츠 값*으로* 20유로를 냈다.,por,"para,a,de,en",exchange,교환/가격은 'por'입니다.
La tarea es ( ) el lunes.,숙제는 월요일*까지*다.,para,"por,a,de,en",time_deadline,기한은 'para'입니다.
Estuve allí ( ) dos semanas.,나는 2주 *동안* 거기에 있었다.,por,"para,a,de,en",time_duration,기간은 'por'입니다.
Salimos ( ) la mañana.,우리는 아침*에* 나간다.,por,"para,a,de,en",time_duration,하루 중 시간대(아침/점심/저녁)는 'por'입니다.
El tren sale ( ) Madrid.,기차는 마드리드*행*이다.,para,"por,de,en,a",loc_direction,목적지 방향은 'para'입니다. (de Madrid는 마드리드발)
Pasamos ( ) el parque.,우리는 공원*을* 간다.,por,"para,a,de,en",loc_path,경유/통과는 'por'입니다.
"( ) mí, es importante.",나*에게는* 중요하다.,Para,"Por,De,A,En",topic,의견(~에게는)은 'para'입니다.
Gracias ( ) venir.,와줘서 *고마워*.,por,"para,a,de,en",cause,감사의 이유는 'por'입니다.
No fui ( ) estar enfermo.,나는 아파서 가지 않았다.,por,"para,a,de,en",cause,원인은 'por'입니다.
Es muy alto ( ) su edad.,그는 나이*치고는* 키가 매우 크다.,para,"por,de,a,en",topic,비교 기준(~치고는)은 'para'입니다.
Te doy esto ( ) aquello.,이것을 저것*과* 줄게.,por,"para,a,de,en",exchange,교환은 'por'입니다.
Voy ( ) agua.,나는 물 *마시러* 간다.,a,"por,de,en,con",purpose,"'Ir a por' + 사물은 '~을 가지러 가다'라는 뜻으로 'a'와 'por'가 같이 쓰이지만, 여기선 방향성 'a'가 기본입니다. 혹은 'Ir por agua'(물 가지러 가다)도 가능하므로 보기를 조정해야 합니다. 정답을 'por'로 수정하겠습니다."
Voy ( ) agua.,나는 물 *가지러* 간다.,por,"para,a,de,en",purpose,"'Ir por'는 '~을 가지러 가다, 데리러 가다'는 뜻입니다."
Está ( ) llegar.,그는 *아직* 도착하지 않았다.,por,"para,a,de,en",time_point,"'Estar por' + 동사원형은 '아직 ~하지 않았다, ~할 예정이다'는 뜻입니다."
La carta es ( ) el director.,편지는 이사님*께* 이다.,para,"por,de,a,en",company,수신인은 'para'입니다.
Escrito ( ) Cervantes.,세르반테스*에 의해* 쓰여진.,por,"para,de,a,en",method,행위자는 'por'입니다.
Leí el libro ( ) encima.,나는 책을 *대충* 읽었다.,por,"para,a,de,en",manner,"'Por encima'는 '대충, 겉으로'라는 뜻입니다."
Lo dejé ( ) imposible.,나는 그것을 불가능한 것*으로* 그만두었다.,por,"para,a,de,en",manner,"'Dar/Dejar por' + 형용사는 '~로 여기다, 간주하다'는 뜻입니다."
( ) fin terminamos.,*마침내* 끝났다.,Por,"Para,De,A,En",manner,'Por fin'은 마침내입니다.
"( ) cierto, ¿cómo estás?","*그건 그렇고*, 잘 지내?",Por,"Para,De,A,En",topic,'Por cierto'는 화제 전환(그건 그렇고)입니다.
( ) supuesto.,*물론이지*.,Por,"Para,De,A,En",manner,'Por supuesto'는 당연하다는 뜻입니다.
"( ) favor, ayúdame.","*제발*, 도와줘.",Por,"Para,De,A,En",manner,'Por favor'는 부탁할 때 씁니다.
"( ) lo menos, inténtalo.","*적어도*, 시도는 해봐.",Por,"Para,De,A,En",manner,'Por lo menos'는 적어도입니다.
Iba ( ) la calle.,나는 거리*를* 가고 있었다.,por,"para,a,de,en",loc_path,이동 경로는 'por'입니다.
Me preguntó ( ) ti.,그는 나에게 너*에 대해* 물었다.,por,"para,a,de,en",topic,"'Preguntar por'는 '~의 안부를 묻다, 찾다'는 뜻입니다."
La ventana da ( ) la calle.,창문은 거리*로* 나 있다.,a,"en,de,por,con",loc_direction,"'Dar a'는 '~로 향하다, 면하다'는 뜻입니다."
El éxito consiste ( ) trabajar duro.,성공은 열심히 일하는 것*에* 있다.,en,"a,de,por,con",topic,"'Consistir en'은 '~에 있다, ~로 이루어지다'는 뜻입니다."
¿Qué piensas ( ) mi idea?,내 아이디어*에 대해* 어떻게 생각하니?,de,"en,a,por,con",topic,"'Pensar de'는 '~에 대해 어떻게 생각하다(의견)'이고, 'Pensar en'은 '~를 생각하다(머릿속에 떠올리다)'입니다. 의견을 물을 땐 'de'가 더 적절합니다."
Me interesé ( ) el arte.,나는 예술*에* 관심을 가졌다.,por,"a,de,en,con",topic,'Interesarse por'는 '~에 관심을 가지다'는 뜻입니다.
Se preocupan ( ) el futuro.,그들은 미래*를* 걱정한다.,por,"a,de,en,con",cause,'Preocuparse por'는 '~에 대해 걱정하다'는 뜻입니다.
Me conformo ( ) poco.,나는 적은 것*으로* 만족한다.,con,"a,de,en,por",manner,"'Conformarse con'은 '~에 만족하다, 순응하다'는 뜻입니다."
Sueño ( ) ser médico.,나는 의사가 되는 *꿈을* 꾼다.,con,"a,de,en,por",topic,'Soñar con'은 '~하는 꿈을 꾸다'는 뜻입니다.
Me encontré ( ) un amigo.,나는 친구*와* 마주쳤다.,con,"a,de,en,por",company,'Encontrarse con'은 '~와 우연히 만나다'는 뜻입니다.
Se enfadó ( ) mí.,그는 나*에게* 화를 냈다.,con,"a,de,en,por",company,'Enfadarse con'은 '~에게 화내다'는 뜻입니다.
Habló ( ) voz baja.,그는 낮은 목소리*로* 말했다.,en,"a,de,por,con",manner,'En voz baja/alta'는 '낮은/높은 목소리로'라는 뜻입니다.
Lo dije ( ) broma.,나는 그것을 농담*으로* 말했다.,en,"a,de,por,con",manner,'En broma'는 '농담으로'라는 뜻입니다.
Me lo tomé ( ) serio.,나는 그것을 진지하게 *받아들였다*.,en,"a,de,por,con",manner,'Tomarse en serio'는 '진지하게 받아들이다'는 뜻입니다.
Estoy ( ) paro.,나는 *실직* 상태다.,en,"a,de,por,con",manner,'Estar en paro'는 '실직 중이다'는 뜻입니다.
Vino ( ) seguida.,그는 *즉시* 왔다.,en,"a,de,por,con",time_point,"'En seguida'는 '즉시, 곧'이라는 뜻입니다."
Lo hizo ( ) secreto.,그는 그것을 *비밀로* 했다.,en,"a,de,por,con",manner,'En secreto'는 '비밀리에'라는 뜻입니다.
Entró ( ) silencio.,그는 조용히 들어왔다.,en,"a,de,por,con",manner,'En silencio'는 '조용히'라는 뜻입니다.
Cayó ( ) suelo.,그는 바닥*으로* 떨어졌다.,al,"en el,del,por el",loc_direction,'Caer al suelo'는 '바닥에 넘어지다/떨어지다'는 뜻입니다.
Juega ( ) fútbol.,그는 축구*를* 한다.,al,"en el,del,por el",method,'Jugar al' + 스포츠는 '~를 하다'는 뜻입니다.
Se dedica ( ) comercio.,그는 무역*에* 종사한다.,al,"en el,del,por el",method,'Dedicarse al'은 '~에 종사하다'는 뜻입니다.
Me refiero ( ) libro que leíste.,나는 네가 읽은 그 책*을* 언급하는 거야.,al,"en el,del,por el",topic,"'Referirse a'는 '~을 언급하다, 지칭하다'는 뜻입니다."
Se parece ( ) abuelo.,그는 할아버지*를* 닮았다.,al,"en el,del,por el",company,'Parecerse a'는 '~를 닮다'는 뜻입니다.
Llamé ( ) médico.,나는 의사*를* 불렀다.,al,"en el,del,por el",method,"'Llamar a'는 '~에게 전화하다, 부르다'는 뜻입니다."
Voy ( ) cine.,나는 영화관*에* 간다.,al,"en el,del,por el",loc_direction,'Ir al cine'는 영화관에 간다는 뜻입니다.
Vengo ( ) trabajo.,나는 직장*에서* 오는 길이다.,del,"al,en el,por el",loc_origin,'Venir del'은 ~에서 온다는 뜻입니다.
Salgo ( ) colegio.,나는 학교*에서* 나온다.,del,"al,en el,por el",loc_origin,'Salir del'은 ~에서 나간다는 뜻입니다.
Es el coche ( ) jefe.,그것은 사장님*의* 차다.,del,"al,en el,por el",company,소유는 'del'입니다.
Está ( ) lado de la ventana.,그것은 창문 *옆에* 있다.,al,"en el,del,por el",loc_position,'Al lado de'는 '~옆에'입니다.
Está ( ) final de la calle.,그것은 거리 *끝에* 있다.,al,"en el,del,por el",loc_position,'Al final de'는 '~끝에'입니다.
Vamos ( ) centro.,우리는 시내*로* 간다.,al,"en el,del,por el",loc_direction,'Ir al centro'는 시내에 간다는 뜻입니다.
Está ( ) principio del libro.,그것은 책 *앞부분에* 있다.,al,"en el,del,por el",loc_position,'Al principio de'는 '~초반에'입니다.
